Downloaded URL,Size in Bytes,No of outlinks,ContentType
https://www.nytimes.com/2023/09/25/science/future-earth-warming-mammal-extinction.html,255780,123,text/html
https://www.nytimes.com/by/david-gelles,301215,55,text/html
https://www.nytimes.com/2022/03/14/climate/tree-planting-reforestation-climate.html,291566,129,text/html
https://www.nytimes.com/2023/09/26/climate/iea-road-map-renewable-energy.html,255863,125,text/html
https://www.nytimes.com/2023/09/25/dining/climate-change-fruits-vegetables.html?campaign_id=9&emc=edit_nn_20230925&instance_id=103598&nl=the-morning&regi_id=76187137&segment_id=145642&te=1&user_id=b80ecdfce6ed23e4a5c3e76d38e086ee,334319,168,text/html
https://www.nytimes.com/2020/02/12/climate/trump-trees-climate-change.html,284864,134,text/html
https://www.nytimes.com/column/book-review-podcast?action=click&pgtype=Article&state=default&module=styln-books-general&variant=show&region=BELOW_MAIN_CONTENT&block=storyline_flex_guide_recirc,266374,60,text/html
https://www.nytimes.com/2023/10/02/books/review/going-infinite-michael-lewis.html?action=click&pgtype=Article&state=default&module=styln-books-general&variant=show&region=BELOW_MAIN_CONTENT&block=storyline_flex_guide_recirc,294120,135,text/html
https://www.nytimes.com/2023/09/24/books/kerry-washington-memoir-thicker-than-water.html?action=click&pgtype=Article&state=default&module=styln-books-general&variant=show&region=BELOW_MAIN_CONTENT&block=storyline_flex_guide_recirc,310422,132,text/html
https://www.nytimes.com/2023/09/28/books/review/romance-books-academia.html,253151,126,text/html
https://www.nytimes.com/explain/2022/how-to-be-a-better-reader?action=click&pgtype=Article&state=default&module=styln-books-general&variant=show&region=BELOW_MAIN_CONTENT&block=storyline_flex_guide_recirc,357920,184,text/html
https://www.nytimes.com/2023/10/02/books/review/daniel-clowes-monica.html?action=click&pgtype=Article&state=default&module=styln-books-general&variant=show&region=BELOW_MAIN_CONTENT&block=storyline_flex_guide_recirc,258296,135,text/html
https://www.nytimes.com/2017/04/12/books/review-killers-of-flower-moon-david-grann.html,258885,119,text/html
https://www.nytimes.com/2007/12/26/movies/26bloo.html,255045,113,text/html
https://www.nytimes.com/audio/app/2023/10/05/magazine/jack-fisk-movie-sets.html?referringSource=audioAppPromo,60643,19,text/html
https://www.nytimes.com/1998/12/23/movies/film-review-beauty-and-destruction-in-pacific-battle.html,242454,116,text/html
https://www.nytimes.com/2015/12/25/movies/review-the-revenant-welcome-to-paradise-now-prepare-to-fall.html,357797,146,text/html
https://www.nytimes.com/2023/09/14/movies/killers-of-the-flower-moon-costumes.html,305392,136,text/html
https://www.nytimes.com/2022/10/05/magazine/uruguay-renewable-energy.html,397746,123,text/html
https://www.nytimes.com/2006/01/26/style/malick-reshapes-a-new-world-where-luxuriant-imagery-is-the-star.html,208687,116,text/html
https://www.nytimes.com/2001/10/06/movies/film-festival-review-hollywood-a-funhouse-of-fantasy.html,250661,116,text/html
https://www.nytimes.com/2005/01/19/movies/ok-guys-just-what-side-of-the-law-are-you-on.html,209926,112,text/html
https://www.nytimes.com/2015/09/24/fashion/bar-goto-a-new-japanese-bar-on-the-lower-east-side.html,231201,121,text/html
https://www.nytimes.com/column/where-to-eat-new-york-city,304903,55,text/html
https://www.nytimes.com/newsletters/where-to-eat-new-york-city,83520,34,text/html
https://www.nytimes.com/newsletters/signup/WTE,83509,34,text/html
https://www.nytimes.com/2021/08/09/science/charles-loeb-atomic-bomb.html,339768,150,text/html
https://www.nytimes.com/by/david-w-dunlap,296449,56,text/html
https://www.nytimes.com/2021/08/09/science/william-laurence-new-york-times.html,375831,197,text/html
https://www.nytimes.com/1977/03/19/archives/william-laurence-exscience-writer-for-the-times-dies-william-l.html,233682,112,text/html
https://www.nytimes.com/2023/07/19/movies/oppenheimer-review-christopher-nolan.html,310728,144,text/html
https://www.nytimes.com/2023/10/06/us/politics/ukraine-aid-congress.html?action=click&pgtype=Interactive&state=default&module=styln-new-congress&variant=show&region=BELOW_MAIN_CONTENT&block=storyline_flex_guide_recirc,283676,140,text/html
https://www.nytimes.com/2023/09/29/us/politics/shutdown-mccarthy.html?smid=url-share,267043,134,text/html
https://www.nytimes.com/2023/07/06/climate/cargo-ship-emissions-agreement.html,247723,122,text/html
https://www.nytimes.com/2023/08/13/us/hawaii-wildfire-factors.html,280647,135,text/html
https://www.nytimes.com/by/cara-buckley,349069,56,text/html
https://www.nytimes.com/by/serge-f-kovaleski,790781,56,text/html
https://www.nytimes.com/2021/06/24/magazine/cargo-ships-emissions.html,520872,136,text/html
https://www.nytimes.com/by/nicholas-bogel-burroughs,544930,54,text/html
https://www.nytimes.com/2023/08/02/movies/passages-ranz-rogowski-ben-wishaw-adele-exarchopoulos.html,265994,137,text/html
https://www.nytimes.com/2023/08/03/movies/passages-review.html,264969,136,text/html
